,state_alpha,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
20,MD,"[579.72, 691.64, 832.32, 1110.36, 1306.32]","[600.6, 716.04, 861.96, 1149.6, 1353.0]","[631.71, 705.33, 830.46, 1085.92, 1330.25]","[681.88, 758.76, 893.24, 1166.88, 1428.28]","[700.44, 778.92, 916.92, 1199.32, 1465.12]","[754.12, 838.52, 987.6, 1292.12, 1575.52]","[809.92, 901.0, 1061.32, 1388.08, 1692.96]","[849.68, 945.28, 1113.6, 1456.28, 1777.08]","[873.72, 971.52, 1145.28, 1498.44, 1825.84]","[863.8, 962.92, 1140.16, 1486.08, 1815.24]","[858.32, 969.2, 1197.96, 1561.48, 1816.6]","[858.64, 970.08, 1197.44, 1563.04, 1816.96]","[845.84, 956.56, 1180.08, 1540.2, 1791.0]","[848.88, 973.83, 1196.67, 1562.88, 1891.21]","[932.83, 1047.12, 1282.75, 1677.46, 2031.04]","[946.21, 1071.0, 1306.5, 1708.54, 2055.71]"
21,MA,"[656.34, 794.72, 1000.38, 1256.19, 1457.03]","[683.25, 827.59, 1040.72, 1307.62, 1516.09]","[724.22, 820.16, 990.22, 1214.53, 1388.34]","[801.72, 891.57, 1073.34, 1329.32, 1521.31]","[833.4, 926.96, 1116.13, 1382.61, 1581.74]","[855.05, 952.35, 1147.8, 1424.18, 1625.34]","[862.66, 962.04, 1159.46, 1439.35, 1641.31]","[895.71, 997.95, 1202.67, 1492.81, 1702.65]","[890.45, 992.08, 1195.47, 1483.81, 1691.83]","[859.33, 965.09, 1166.11, 1415.93, 1589.59]","[855.79, 970.95, 1222.55, 1537.56, 1708.52]","[854.63, 969.51, 1219.88, 1533.94, 1705.57]","[872.77, 990.55, 1245.99, 1566.56, 1741.83]","[891.18, 1045.97, 1308.71, 1640.82, 1837.83]","[963.26, 1094.38, 1361.3, 1717.74, 1926.1]","[1050.85, 1172.8, 1459.38, 1842.54, 2042.91]"
22,MI,"[374.06, 433.95, 545.01, 703.82, 797.84]","[376.41, 437.45, 549.4, 709.37, 803.69]","[434.12, 483.3, 587.13, 759.4, 831.07]","[448.18, 498.52, 606.31, 788.8, 870.65]","[455.75, 507.01, 616.61, 802.14, 884.95]","[485.31, 539.99, 656.87, 854.9, 943.37]","[496.49, 552.53, 672.12, 874.83, 965.59]","[501.66, 558.2, 678.94, 883.83, 975.53]","[501.54, 558.2, 678.9, 883.77, 975.52]","[499.92, 560.51, 677.49, 875.75, 960.48]","[486.02, 551.6, 709.0, 949.52, 1082.71]","[500.82, 567.99, 729.92, 978.9, 1115.77]","[501.05, 568.18, 730.31, 979.92, 1116.69]","[515.76, 579.86, 747.33, 999.55, 1121.36]","[534.16, 609.2, 775.06, 1035.67, 1154.2]","[560.6, 630.51, 801.66, 1065.12, 1186.43]"
23,MN,"[354.02, 436.06, 554.59, 713.87, 815.51]","[357.25, 440.76, 559.99, 720.72, 823.78]","[406.9, 466.57, 580.16, 752.94, 853.72]","[423.51, 484.7, 602.78, 783.46, 889.78]","[427.64, 489.3, 608.61, 791.09, 898.93]","[457.61, 523.54, 651.11, 846.14, 961.52]","[469.71, 537.32, 668.39, 868.53, 987.06]","[477.37, 546.49, 679.71, 883.62, 1004.55]","[485.28, 555.56, 691.01, 898.2, 1021.23]","[474.05, 545.7, 679.99, 874.72, 989.8]","[478.41, 555.37, 715.09, 972.17, 1122.79]","[495.85, 576.16, 741.08, 1008.84, 1163.69]","[502.92, 584.93, 752.29, 1024.9, 1182.05]","[507.18, 604.55, 785.17, 1050.78, 1206.6]","[525.1, 625.93, 804.49, 1084.69, 1243.83]","[544.53, 644.01, 826.37, 1112.06, 1267.83]"
24,MS,"[305.82, 360.67, 445.55, 578.18, 653.39]","[305.43, 360.88, 445.77, 578.52, 653.05]","[372.7, 417.96, 489.96, 633.65, 714.34]","[401.85, 450.33, 526.79, 682.72, 768.52]","[407.45, 456.89, 534.37, 692.35, 778.96]","[441.85, 494.82, 578.95, 750.6, 843.3]","[472.77, 529.61, 619.56, 803.24, 903.02]","[476.67, 533.96, 624.62, 809.9, 910.45]","[503.93, 564.35, 660.21, 856.33, 963.26]","[480.87, 536.98, 629.82, 810.01, 909.01]","[449.78, 521.99, 650.95, 871.02, 956.45]","[480.66, 557.83, 695.7, 933.33, 1023.33]","[476.26, 552.43, 689.11, 924.62, 1015.56]","[500.67, 573.72, 709.65, 931.9, 1034.24]","[536.18, 612.05, 755.1, 991.55, 1103.48]","[528.29, 594.9, 736.3, 969.61, 1084.24]"
25,MO,"[303.95, 356.11, 455.75, 596.71, 680.97]","[304.72, 356.54, 457.03, 599.0, 682.88]","[375.51, 412.56, 514.32, 676.45, 771.47]","[391.04, 430.25, 536.84, 706.91, 801.45]","[395.48, 435.4, 543.12, 715.53, 811.61]","[416.49, 458.43, 571.91, 753.47, 854.49]","[428.33, 471.62, 588.28, 775.27, 878.89]","[435.82, 480.02, 598.39, 788.63, 893.97]","[452.53, 498.39, 621.41, 818.78, 928.35]","[447.5, 492.46, 614.49, 806.45, 906.9]","[435.18, 502.47, 653.57, 880.53, 991.82]","[449.92, 520.53, 676.13, 911.52, 1026.3]","[452.1, 522.6, 678.84, 915.72, 1031.18]","[476.44, 540.71, 704.97, 940.78, 1072.88]","[490.23, 560.8, 723.96, 969.98, 1106.95]","[489.82, 562.05, 724.42, 970.23, 1102.9]"
26,MT,"[349.96, 405.07, 529.57, 690.21, 811.34]","[354.07, 409.3, 535.82, 696.79, 819.95]","[369.54, 423.32, 518.46, 695.2, 773.34]","[405.55, 461.96, 563.66, 758.55, 856.79]","[408.21, 465.29, 568.46, 765.18, 864.96]","[434.11, 494.86, 604.29, 813.18, 919.45]","[446.57, 508.66, 620.86, 835.71, 944.43]","[449.57, 512.07, 625.07, 841.46, 950.45]","[471.16, 536.88, 656.27, 883.21, 999.0]","[440.77, 489.64, 606.95, 812.27, 905.3]","[449.79, 492.16, 624.7, 858.68, 987.86]","[485.41, 530.93, 672.68, 927.88, 1066.57]","[512.43, 559.96, 710.62, 979.25, 1126.2]","[510.68, 579.96, 717.84, 963.05, 1166.95]","[529.43, 595.75, 739.75, 1003.77, 1209.95]","[557.71, 631.23, 791.82, 1070.46, 1296.52]"
27,NE,"[281.9, 361.95, 458.63, 588.95, 675.72]","[281.37, 361.56, 459.0, 588.54, 675.67]","[398.69, 429.84, 527.62, 675.38, 749.2]","[416.41, 449.89, 552.54, 706.78, 784.01]","[420.88, 454.61, 558.4, 714.14, 792.28]","[431.13, 465.69, 572.0, 731.61, 811.69]","[445.65, 481.52, 591.39, 756.52, 839.06]","[451.27, 487.81, 598.94, 766.25, 849.83]","[456.62, 493.18, 605.74, 774.87, 859.61]","[483.14, 515.38, 632.82, 813.74, 898.43]","[413.19, 478.45, 622.58, 809.48, 906.86]","[415.57, 481.4, 625.65, 815.08, 913.83]","[427.2, 495.42, 643.39, 838.24, 939.89]","[436.55, 517.3, 673.69, 878.22, 977.28]","[449.58, 537.85, 694.69, 908.31, 1011.95]","[461.76, 548.32, 705.25, 925.17, 1026.96]"
28,NV,"[463.18, 573.65, 718.53, 959.06, 1117.65]","[476.94, 590.82, 739.65, 987.65, 1151.0]","[535.35, 608.82, 756.71, 1023.65, 1181.24]","[542.76, 618.41, 766.24, 1044.0, 1191.53]","[561.47, 640.24, 792.94, 1080.18, 1233.06]","[584.82, 666.59, 825.65, 1124.82, 1284.41]","[616.35, 702.24, 869.76, 1184.82, 1352.65]","[645.53, 735.47, 911.29, 1241.35, 1417.53]","[619.71, 705.71, 874.24, 1189.47, 1356.94]","[560.53, 654.59, 815.71, 1111.88, 1263.35]","[509.88, 663.41, 845.71, 1171.29, 1389.41]","[519.59, 676.65, 862.18, 1192.71, 1414.35]","[510.06, 663.76, 846.59, 1173.0, 1390.71]","[538.76, 659.06, 854.82, 1201.35, 1427.41]","[555.29, 671.59, 863.06, 1219.76, 1438.82]","[602.12, 726.65, 930.35, 1306.65, 1519.29]"
29,NH,"[546.37, 681.32, 870.32, 1119.47, 1313.32]","[566.21, 706.58, 901.89, 1160.0, 1360.26]","[626.47, 726.53, 902.95, 1168.05, 1314.16]","[575.78, 663.55, 826.89, 1099.04, 1273.24]","[601.04, 692.86, 863.14, 1146.62, 1327.47]","[673.36, 775.74, 966.91, 1285.68, 1491.84]","[674.57, 777.49, 968.87, 1288.34, 1494.48]","[680.28, 784.03, 976.95, 1299.03, 1506.77]","[684.3, 788.47, 982.75, 1306.63, 1515.64]","[673.02, 775.9, 971.97, 1277.24, 1457.08]","[740.85, 823.72, 1041.0, 1369.53, 1532.55]","[729.83, 811.2, 1025.6, 1349.19, 1508.9]","[781.21, 865.58, 1093.7, 1436.27, 1606.56]","[727.58, 834.36, 1055.77, 1368.12, 1561.05]","[784.63, 872.19, 1100.29, 1439.88, 1640.56]","[810.5, 902.53, 1140.05, 1491.14, 1737.96]"
30,NJ,"[664.95, 802.67, 986.1, 1275.48, 1534.57]","[688.24, 830.86, 1020.48, 1320.05, 1588.48]","[793.33, 887.86, 1048.95, 1307.81, 1499.86]","[844.62, 932.05, 1094.86, 1367.43, 1565.67]","[868.81, 966.9, 1145.67, 1436.14, 1641.57]","[901.14, 1003.71, 1189.43, 1491.57, 1705.24]","[923.05, 1028.24, 1218.71, 1527.57, 1746.48]","[962.38, 1071.95, 1269.95, 1591.81, 1820.67]","[981.19, 1092.81, 1294.81, 1624.19, 1857.86]","[992.62, 1109.14, 1309.67, 1621.33, 1838.48]","[935.81, 1077.33, 1310.48, 1709.95, 1986.76]","[952.62, 1096.33, 1333.29, 1738.76, 2020.24]","[965.48, 1111.38, 1352.43, 1764.33, 2050.0]","[975.76, 1151.29, 1406.52, 1818.19, 2107.1]","[1007.62, 1161.95, 1430.38, 1849.38, 2140.67]","[1015.62, 1184.76, 1463.0, 1884.52, 2183.57]"
31,NM,"[350.0, 406.76, 513.24, 687.0, 788.67]","[350.91, 407.55, 513.67, 688.15, 790.06]","[409.3, 452.52, 537.27, 728.3, 827.97]","[436.97, 480.39, 573.18, 780.52, 889.33]","[445.48, 490.09, 584.85, 796.09, 907.21]","[452.7, 498.21, 594.42, 809.18, 921.97]","[471.3, 518.12, 618.06, 840.7, 957.58]","[490.79, 539.61, 643.67, 875.67, 997.15]","[496.24, 545.79, 651.21, 886.12, 1009.42]","[481.88, 533.0, 635.88, 852.61, 988.7]","[489.24, 557.3, 706.58, 956.91, 1091.55]","[526.67, 598.52, 758.3, 1027.73, 1168.12]","[507.3, 576.18, 729.48, 988.55, 1123.79]","[540.7, 611.55, 768.94, 1033.73, 1229.09]","[550.24, 612.33, 763.94, 1040.79, 1227.82]","[587.09, 643.12, 802.7, 1103.67, 1290.45]"
32,NY,"[504.37, 593.53, 713.63, 917.1, 1035.5]","[511.61, 601.95, 723.98, 929.9, 1050.03]","[581.02, 615.08, 729.03, 921.13, 1018.02]","[599.74, 635.13, 754.79, 957.92, 1083.81]","[631.71, 671.39, 794.92, 1007.5, 1120.11]","[717.58, 762.05, 902.39, 1144.02, 1272.63]","[735.24, 780.5, 924.76, 1172.42, 1305.42]","[755.45, 801.82, 949.89, 1204.5, 1341.11]","[760.42, 807.45, 956.18, 1212.32, 1348.76]","[774.0, 818.31, 970.92, 1217.31, 1363.39]","[709.9, 789.58, 975.31, 1271.35, 1417.85]","[716.71, 797.94, 985.61, 1285.26, 1434.02]","[731.94, 814.71, 1006.35, 1312.37, 1464.03]","[736.31, 839.4, 1019.5, 1312.53, 1469.5]","[780.32, 869.97, 1061.66, 1371.84, 1530.23]","[817.86, 905.02, 1100.08, 1413.44, 1566.56]"
33,NC,"[403.92, 465.98, 558.42, 736.42, 836.56]","[404.98, 466.78, 559.21, 738.12, 837.86]","[451.78, 504.42, 588.11, 774.93, 883.19]","[465.92, 523.23, 611.09, 805.94, 918.4]","[479.2, 538.3, 628.61, 829.12, 944.98]","[508.36, 571.0, 667.03, 879.78, 1003.23]","[520.33, 584.46, 683.03, 900.97, 1027.24]","[537.14, 603.19, 704.79, 929.48, 1059.89]","[531.92, 597.41, 697.91, 920.44, 1049.47]","[529.28, 596.44, 697.43, 907.91, 1023.06]","[535.02, 573.65, 715.96, 956.45, 1125.41]","[547.1, 585.93, 731.72, 977.46, 1149.25]","[556.18, 596.77, 744.46, 994.74, 1171.04]","[587.4, 622.57, 772.25, 1034.02, 1225.21]","[608.71, 637.85, 784.77, 1056.14, 1252.96]","[636.69, 663.57, 817.22, 1097.3, 1309.05]"
34,ND,"[281.66, 344.58, 444.43, 581.23, 680.02]","[284.43, 348.08, 449.79, 587.28, 687.21]","[349.34, 391.79, 483.15, 658.79, 746.4]","[382.47, 422.02, 521.36, 715.11, 808.0]","[383.34, 423.36, 522.81, 717.04, 810.34]","[381.83, 421.57, 520.74, 714.11, 807.08]","[400.87, 442.4, 546.3, 749.13, 846.85]","[406.26, 448.43, 553.74, 759.32, 858.36]","[427.3, 471.83, 582.6, 799.17, 903.28]","[459.42, 509.87, 625.57, 856.62, 974.53]","[432.28, 447.3, 563.96, 782.57, 839.66]","[532.17, 550.83, 692.81, 962.19, 1033.45]","[501.96, 519.47, 653.34, 910.02, 976.09]","[550.79, 575.51, 723.34, 987.81, 1107.11]","[632.94, 654.74, 827.96, 1149.47, 1258.53]","[602.94, 620.68, 782.94, 1084.62, 1217.4]"
35,OH,"[364.35, 435.64, 548.09, 701.36, 784.73]","[365.76, 437.52, 550.1, 703.88, 787.25]","[416.47, 470.33, 578.11, 746.89, 821.36]","[431.23, 485.67, 597.45, 772.88, 850.17]","[440.84, 495.48, 609.4, 787.68, 865.32]","[472.64, 531.2, 653.31, 844.41, 927.97]","[479.93, 539.42, 663.4, 857.4, 942.38]","[486.61, 546.86, 672.41, 869.06, 955.1]","[494.77, 556.1, 683.78, 883.75, 971.42]","[485.06, 547.33, 671.16, 862.47, 943.51]","[455.02, 534.6, 688.16, 917.74, 1005.97]","[461.73, 542.67, 697.93, 930.75, 1020.11]","[472.86, 555.41, 714.34, 953.03, 1044.57]","[503.66, 572.62, 735.09, 975.43, 1084.15]","[530.35, 601.52, 767.2, 1017.69, 1137.24]","[539.42, 609.8, 776.75, 1025.33, 1144.47]"
36,OK,"[308.66, 351.31, 442.74, 596.38, 682.06]","[307.74, 350.13, 441.39, 593.79, 679.32]","[355.64, 388.64, 476.05, 641.18, 705.65]","[376.53, 410.88, 502.13, 675.57, 741.9]","[382.84, 417.57, 510.31, 686.44, 754.44]","[426.73, 465.62, 568.87, 765.44, 841.0]","[451.13, 492.16, 601.34, 809.01, 889.13]","[453.47, 495.1, 604.62, 813.39, 894.01]","[457.65, 499.14, 609.92, 820.61, 901.77]","[439.05, 480.96, 584.96, 777.77, 848.82]","[430.56, 484.65, 623.58, 831.39, 953.62]","[451.57, 507.99, 653.53, 871.78, 998.97]","[464.34, 522.6, 672.39, 897.38, 1027.81]","[490.47, 554.03, 708.91, 943.45, 1092.23]","[510.75, 576.91, 735.0, 981.25, 1131.49]","[534.96, 602.43, 765.39, 1020.39, 1168.81]"
37,OR,"[398.03, 480.08, 615.25, 848.86, 945.14]","[406.64, 490.69, 629.58, 868.86, 967.17]","[444.75, 520.89, 635.44, 901.58, 1020.81]","[458.5, 536.83, 654.75, 929.0, 1051.94]","[472.92, 553.64, 675.28, 958.14, 1084.61]","[492.36, 576.67, 703.36, 997.89, 1129.31]","[505.61, 592.0, 721.97, 1024.28, 1159.86]","[519.31, 608.11, 741.53, 1052.06, 1191.42]","[542.86, 635.39, 774.33, 1098.97, 1245.36]","[506.58, 591.94, 723.44, 1025.47, 1166.06]","[516.31, 602.19, 767.94, 1089.64, 1283.5]","[520.25, 606.89, 773.92, 1099.19, 1294.58]","[537.81, 628.56, 801.61, 1137.58, 1340.86]","[586.47, 683.19, 861.69, 1221.08, 1440.14]","[603.69, 694.83, 874.36, 1245.53, 1478.61]","[654.97, 752.64, 944.36, 1345.44, 1587.0]"
38,PA,"[379.42, 480.54, 583.75, 750.67, 858.19]","[382.07, 484.22, 587.67, 756.1, 864.22]","[446.31, 506.97, 607.96, 771.49, 850.94]","[471.0, 534.01, 639.31, 814.94, 900.49]","[491.28, 556.31, 666.49, 849.04, 938.4]","[505.03, 572.19, 685.33, 873.3, 965.31]","[522.6, 592.06, 709.25, 903.57, 998.88]","[536.0, 607.33, 727.54, 926.9, 1024.93]","[542.67, 615.09, 736.79, 938.94, 1037.79]","[527.01, 597.66, 712.66, 902.91, 998.54]","[547.93, 623.1, 776.12, 1002.73, 1097.46]","[561.27, 636.88, 792.81, 1024.6, 1121.97]","[566.73, 643.6, 801.15, 1035.48, 1133.82]","[579.19, 659.93, 823.48, 1058.03, 1172.79]","[620.81, 697.49, 867.7, 1121.22, 1240.76]","[640.54, 715.73, 892.1, 1153.45, 1270.28]"
39,RI,"[518.38, 657.12, 789.5, 995.5, 1177.12]","[526.5, 667.25, 802.25, 1010.12, 1195.25]","[682.75, 762.5, 910.12, 1123.0, 1347.25]","[734.62, 813.77, 961.31, 1167.92, 1476.38]","[771.69, 855.23, 1010.23, 1227.69, 1550.92]","[793.69, 881.08, 1042.69, 1269.62, 1603.08]","[782.31, 869.77, 1029.62, 1254.62, 1583.31]","[787.38, 875.92, 1036.85, 1263.92, 1594.69]","[798.23, 887.92, 1051.08, 1280.62, 1616.31]","[758.69, 858.85, 996.54, 1206.0, 1501.85]","[737.62, 828.23, 1020.38, 1293.54, 1554.0]","[724.38, 812.92, 1001.54, 1269.77, 1525.46]","[750.38, 842.69, 1038.15, 1316.15, 1581.0]","[710.23, 869.92, 1068.77, 1355.38, 1644.08]","[795.54, 898.77, 1094.08, 1397.92, 1681.85]","[815.92, 924.62, 1120.92, 1436.46, 1702.38]"
